firstname;lastname;username;department;password;ou;adgroup
;;marketing1;marketing;Password1;OU=Marketing,OU=DesignServices,OU=Users;Marketing
;;marketing2;marketing;Password1;OU=Marketing,OU=DesignServices,OU=Users;Marketing
;;Citrix;Admins;Password1;OU=Administrators,OU=Management;
;;ctxadmin;Admins;Password1;OU=Administrators,OU=Management;
;;HDAdmin;Admins;Password1;OU=Administrators,OU=Management;CTX-RES-XDHelpDesk
;;PVSAdmin;Admins;Password1;OU=Administrators,OU=Management;
;;SQLAdmin;Admins;Password1;OU=Administrators,OU=Management;CTX-RES-SQLAdmins
;;XDAdmin;Admins;Password1;OU=Administrators,OU=Management;CTX-RES-XDAdmins
;;svc-crt;Admins;Password1;OU=ServiceAccounts,OU=Management;
;;svc-exs;Admins;Password1;OU=ServiceAccounts,OU=Management;
;;svc-ldp;Admins;Password1;OU=ServiceAccounts,OU=Management;
;;svc-pvs;Admins;Password1;OU=ServiceAccounts,OU=Management;CTX-RES-PVSAdmins
;;svc-sf;Admins;Password1;OU=ServiceAccounts,OU=Management;
;;svc-xd;Admins;Password1;OU=ServiceAccounts,OU=Management;
;;Citrix;Admins;Password1;OU=Administrators,OU=Management;
;;designer1;designers;Password1;OU=Designers,OU=DesignServices,OU=Users;Designers
;;designer2;designers;Password1;OU=Designers,OU=DesignServices,OU=Users;Designers
;;accountant1;accountants;Password1;OU=Accountants,OU=Finance,OU=Users;Accountants
;;accountant2;accountants;Password1;OU=Accountants,OU=Finance,OU=Users;Accountants
;;auditor1;auditors;Password1;OU=Auditors,OU=Finance,OU=Users;Auditors
;;auditor2;auditors;Password1;OU=Auditors,OU=Finance,OU=Users;Auditors
;;support1;support;Password1;OU=Support,OU=IT,OU=Users;Support
;;support2;support;Password1;OU=Support,OU=IT,OU=Users;Support
;;manager;management;Password1;OU=Management,OU=Users;
;;executive1;executives;Password1;OU=Executives,OU=Operations,OU=Users;Executives
;;executive2;executives;Password1;OU=Executives,OU=Operations,OU=Users;Executives
;;hr1;hr;Password1;OU=HR,OU=Operations,OU=Users;HR
;;hr2;hr;Password1;OU=HR,OU=Operations,OU=Users;HR
;;engineer1;engineers;Password1;OU=Engineers,OU=Services,OU=Users;Engineers
;;engineer2;engineers;Password1;OU=Engineers,OU=Services,OU=Users;Engineers
;;technician1;technicians;Password1;OU=Technicians,OU=Services,OU=Users;Technicians
;;technician2;technicians;Password1;OU=Technicians,OU=Services,OU=Users;Technicians
